Location,Unique_Id,row,col,Genotype,PlHa,PHI,YdHa,YdPl,SW,PSN,SWP,HI,VPP,StWP,PlHa_cat
INV-M3-1,20GH2CA643,31,22,GCDT_053,5.0,79.61165049,683.3333333,3.28,0.237681159,2.555555556,0.6074074074074074,41.09245803,,19.31,2.0
INV-M3-1,20GH2CA563,19,20,GCDT_150,5.0,57.34265734,683.3333333,3.28,0.212987013,2.264705882,0.48235294117647054,28.57142857,20.0,28.8,2.0
INV-M3-1,20GH2CA576,32,20,GCDT_002,4.0,80.55420515,690.4166667,4.1425,0.156320755,3.212121212,0.5021212121212121,63.53527607,7.0,5.51,1.0
INV-M3-1,20GH2CA712,32,24,GCDT_108,4.0,81.095492,697.0833333,4.1825,0.249701493,2.68,0.6692,52.54396985,1.0,11.21,1.0
INV-M3-1,20GH2CA754,6,26,GCDT_103,5.0,70.23060797,697.9166667,3.35,0.246323529,1.581395349,0.38953488372093026,52.59026688,4.0,8.0,2.0
INV-M3-1,20GH2CA551,7,20,GCDT_155,5.0,66.31782946,712.9166667,3.422,0.172828283,1.98,0.3422,27.77597403,23.0,35.8,2.0
INV-M3-1,20GH2CA753,5,26,SMR_155,4.0,58.10448761,722.9166667,4.3375,0.266923077,1.382978723,0.36914893617021277,20.25213027,15.0,55.81,1.0
INV-M3-1,20GH2CA555,11,20,GCDT_143,4.0,75.34602076,725.8333333,4.355,0.252463768,2.76,0.6968000000000001,46.2805526,3.0,14.52,1.0
INV-M3-1,20GH2CA710,30,24,GCDT_020,5.0,69.93987976,727.0833333,3.49,0.160091743,3.633333333,0.5816666666666667,42.03806312,6.0,16.56,2.0
INV-M3-1,20GH2CA487,11,18,GCDT_115,5.0,59.08629442,727.5,3.492,0.212926829,2.05,0.4365,21.30567419,19.0,52.4,2.0
INV-M3-1,20GH2CA759,11,26,GCDT_251,5.0,76.04529617,727.5,3.492,0.126521739,3.285714286,0.41571428571428576,54.35865504,2.0,9.16,2.0
INV-M3-1,20GH2CA616,4,22,GCDT_230,5.0,81.76718093,728.75,3.498,0.159,2.972972973,0.47270270270270265,64.49115044,3.0,5.73,2.0
INV-M3-1,20GH2CA640,28,22,GCDT_181,3.0,67.03548264,732.0833333,5.856666667,0.214268293,2.484848485,0.5324242424242425,41.82337539,6.0,15.8,1.0
INV-M3-1,20GH2CA719,30,25,GCDT_084,3.0,75.4491018,735.0,5.88,0.21,5.6,1.176,52.95706995,,9.93,1.0
INV-M3-1,20GH2CA440,32,16,GCDT_254,5.0,77.7486911,742.5,3.564,0.198,3.214285714,0.6364285714285715,52.69071555,11.0,10.9,2.0
INV-M3-1,20GH2CA653,28,23,GCDT_091,4.0,,746.25,4.4775,0.182755102,2.882352941,0.5267647058823529,,2.0,,1.0
INV-M3-1,20GH2CA807,10,27,GCDT_147,5.0,71.400238,750.0,3.6,0.206896552,2.023255814,0.4186046511627907,49.40982707,7.0,11.22,2.0
INV-M3-1,20GH2CA628,16,22,GCDT_235,5.0,74.18032787,754.1666667,3.62,0.128368794,2.711538462,0.3480769230769231,59.24713584,1.0,6.15,2.0
INV-M3-1,20GH2CA761,13,26,GCDT_031,4.0,78.34339948,756.6666667,4.54,0.275151515,1.885714286,0.5188571428571429,57.05309456,1.0,8.65,1.0
INV-M3-1,20GH2CA711,31,24,GCDT_113,3.0,76.79324895,758.3333333,6.066666667,0.195698925,3.444444444,0.674074074074074,57.05329154,2.0,8.2,1.0
INV-M3-1,20GH2CA494,18,18,GCDT_032,4.0,73.39782346,758.75,4.5525,0.263913043,1.815789474,0.4792105263157895,40.63825039,1.0,20.0,1.0
INV-M3-1,20GH2CA490,14,18,GCDT_271,5.0,71.29557797,765.8333333,3.676,0.208863636,2.666666667,0.5569696969696969,47.06786172,6.0,13.27,2.0
INV-M3-1,20GH2CA635,23,22,SMR_155,3.0,69.05294556,771.6666667,6.173333333,0.27641791,2.09375,0.57875,38.72856545,5.0,21.0,1.0
INV-M3-1,20GH2CA438,30,16,GCDT_029,5.0,80.61180526,779.5833333,3.742,0.199042553,3.357142857,0.6682142857142858,63.66110922,6.0,6.18,2.0
INV-M3-1,20GH2CA446,31,17,GCDT_182,5.0,,784.5833333,3.766,0.182815534,2.102040816,0.38428571428571423,,22.0,,2.0
INV-M3-1,20GH2CA744,5,25,GCDT_016,4.0,61.6088947,785.0,4.71,0.269142857,1.428571429,0.38448979591836735,27.11571675,76.0,38.9,1.0
INV-M3-1,20GH2CA774,26,26,GCDT_272,5.0,74.38787408,797.5,3.828,0.242278481,3.038461538,0.7361538461538462,37.6994288,5.0,25.04,2.0
INV-M3-1,20GH2CA543,2,19,GCDT_021,5.0,76.81674566,810.4166667,3.89,0.335344828,3.222222222,1.0805555555555555,61.02918105,,6.55,2.0
INV-M3-1,20GH2CA602,11,21,GCDT_059,4.0,75.95034911,815.8333333,4.895,0.174821429,3.393939394,0.5933333333333333,50.14084507,8.0,13.27,1.0
INV-M3-1,20GH2CA687,7,24,GCDT_140,5.0,62.55183413,817.0833333,3.922,0.217888889,2.195121951,0.47829268292682925,28.6193812,11.0,37.17,2.0
INV-M3-1,20GH2CA682,2,24,GCDT_141,3.0,67.66632196,817.9166667,6.543333333,0.26890411,2.433333333,0.6543333333333333,26.35606874,5.0,45.47,1.0
INV-M3-1,20GH2CA437,29,16,GCDT_192,4.0,73.6428304,819.5833333,4.9175,0.177207207,3.264705882,0.578529411764706,53.14779789,2.0,10.3,1.0
INV-M3-1,20GH2CA707,27,24,GCDT_102,5.0,75.31476536,822.5,3.948,0.216923077,2.166666667,0.47,54.89432703,7.0,9.75,2.0
INV-M3-1,20GH2CA651,30,23,GCDT_258,5.0,80.11363636,822.5,3.948,0.123375,4.444444444,0.5483333333333333,64.15339617,3.0,6.13,2.0
INV-M3-1,20GH2CA447,30,17,GCDT_162,4.0,76.43877945,824.5833333,4.9475,0.167711864,3.470588235,0.5820588235294117,53.61690599,3.0,11.02,1.0
INV-M3-1,20GH2CA434,26,16,GCDT_099,5.0,79.86306887,826.25,3.966,0.166638655,2.76744186,0.46116279069767435,63.59846055,2.0,6.35,2.0
INV-M3-1,20GH2CA755,7,26,GCDT_244,5.0,75.61159202,837.0833333,4.018,0.168823529,2.644444444,0.4464444444444444,56.11731844,2.0,9.23,2.0
INV-M3-1,20GH2CA574,30,20,GCDT_143,5.0,79.48717949,839.5833333,4.03,0.179910714,4.48,0.8059999999999999,58.1194116,2.0,9.32,2.0
INV-M3-1,20GH2CA539,6,19,GCDT_291,4.0,82.75862069,840.0,5.04,0.221538462,4.136363636,0.9163636363636364,60.79613993,5.0,8.8,1.0
INV-M3-1,20GH2CA453,24,17,GCDT_285,4.0,73.45454545,841.6666667,5.05,0.206122449,3.0625,0.63125,52.16942149,3.0,11.22,1.0
INV-M3-1,20GH2CA578,34,20,GCDT_226,5.0,63.28562539,847.5,4.068,0.152932331,2.829787234,0.4327659574468085,33.99064171,18.0,27.7,2.0
INV-M3-1,20GH2CA435,27,16,ICTA_LIGERO,4.0,83.92282958,870.0,5.22,0.195140187,3.242424242,0.6327272727272727,70.09063444,2.0,4.91,1.0
INV-M3-1,20GH2CA696,16,24,GCDT_019,5.0,70.38034332,871.25,4.182,0.213367347,2.45,0.52275,44.38548079,5.0,17.4,2.0
INV-M3-1,20GH2CA504,28,18,SEN_118,4.0,74.51327434,877.0833333,5.2625,0.141275168,4.515151515,0.6378787878787879,52.87616177,2.0,11.56,1.0
INV-M3-1,20GH2CA615,3,22,GCDT_039,3.0,83.07086614,879.1666667,7.033333333,0.229347826,2.967741935,0.6806451612903226,66.96286893,3.0,6.11,1.0
INV-M3-1,20GH2CA582,31,21,GCDT_282,5.0,74.74570326,887.9166667,4.262,0.183706897,3.052631579,0.5607894736842105,60.01126443,3.0,7.0,2.0
INV-M3-1,20GH2CA605,8,21,GCDT_085,5.0,79.8206278,890.0,4.272,0.215757576,3.413793103,0.736551724137931,58.16993464,13.0,9.96,2.0
INV-M3-1,20GH2CA538,7,19,GCDT_061,4.0,78.32602339,892.9166667,5.3575,0.261341463,3.904761905,1.0204761904761905,59.69359331,,8.54,1.0
INV-M3-1,20GH2CA467,10,17,GCDT_043,4.0,79.47774917,900.4166667,5.4025,0.177131148,3.210526316,0.5686842105263158,61.32236095,,8.05,1.0
INV-M3-1,20GH2CA429,21,16,GCDT_007,4.0,82.532418,901.6666667,5.41,0.251627907,2.965517241,0.7462068965517241,49.61027052,6.0,17.4,1.0
